,Accuracy,F1_macro,F1_weighted
Logistic Regression,0.768361581920904,0.682601247658837,0.7531276658422533
Random Forest,0.7740112994350282,0.7000780511262259,0.7610930979187571
XGBoost,0.768361581920904,0.7036065386220965,0.7614275070018272
